Attributes
Year End Date Order,1,2,3,4,5,6,7,8
Net Worth,43051000,28957000,22376000,24954000,9169000,2034000,2222000,1056363
Working Capital,176940000,123271000,69559000,39339000,12695000,5952000,3196000,1048159
Total Assets,217243000,161379000,85107000,46383000,21857000,7540000,5845000,1380410
Total Liabilities,174192000,132422000,62731000,21429000,12688000,5506000,3623000,324047
Net Assets,43051000,28957000,22376000,24954000,9169000,2034000,2222000,1056363
Cash
Net Cash Flow From Operations,-24617000,-52009000,-32738000,-24545000,-16063000,-5119000,-3205000,
Net Cash Flow Before Financing,-36129000,-61204000,-36475000,-26491000,-16985000,-5511000,-3407000,0
Net Cash Flow From Financing,49812000,68969000,38845000,29507000,17844000,3658000,5636000,
Increase In Cash,13683000,7765000,2370000,3016000,859000,-1853000,2229000,
Miscellaneous
Contingent Liability,N,N,N,N,N,N,N,N
Capital Employed,196212000,128161000,71447000,39359000,12718000,5977000,3202000,1056363
Number Of Employees,294,216,176,115,79,35,15,
Auditors,PRICEWATERHOUSECOOPERS LLP,PRICEWATERHOUSECOOPERS LLP,PRICEWATERHOUSECOOPERS LLP,HAYS MACINTYRE,HAYS MACINTYRE,HAYS MACINTYRE,HAYS MACINTYRE,
Auditor Comments,The audit report states that there is uncertainty concerning the company being a 'going concern',The audit report states that there is uncertainty concerning the company being a 'going concern',The audit report contains no adverse comments,The audit report contains no adverse comments,The audit report contains no adverse comments,The audit report contains no adverse comments,The audit report contains no adverse comments,The company is exempt from audit
Bankers,,,,,,,,
Bank Branch Code,,,,,,,,
Ratios
Pre Tax Profit Margin,2.08,1.06,-12.39,-36.65,-80.65,-71.08,-123.99,
Current Ratio,9.41,4.71,6.09,6.6,2.39,4.81,2.21,4.23
Sales Networking Capital,0.39,0.39,0.36,0.34,0.49,0.46,0.35,
Gearing,355.8,342.6,219.3,57.7,38.8,194,44.1,0
Equity,19.8,17.9,26.3,53.8,41.9,27,38,76.5
Creditor Days,1.83,10.48,5.22,3.98,28.24,6.27,0.32,
Debtor Days,,,,1055.88,1056.49,751.75,815.3,
Liquidity Acid Test,9.41,4.71,6.09,6.6,2.38,4.8,2.2,4.23
Return On Capital Employed,0.72,0.39,-4.38,-12.32,-39.39,-32.44,-42.94,
Return On Total Assets Employed,0.65,0.31,-3.67,-10.45,-22.92,-25.71,-23.52,
Current Debt Ratio,0.48,1.14,0.61,0.28,0.99,0.76,1.18,0.3
Total Debt Ratio,4.04,4.57,2.8,0.85,1.38,2.7,1.63,0.3
Stock Turnover Ratio,,,,,,,,
Return On Net Assets Employed,3.31,1.74,-13.99,-19.43,-54.64,-95.32,-61.88,
